tripId,vehicleVin,driverId,timestampUtc,odometerKm,fuelConsumedL,vehicleStatus,routeCode
TRIP-10089,1FM5K8GC7HZA00089,DRV-146,2026-06-12T14:05:00,23262.5,27.0,IN_REPAIR,RT-CDMX-QRO
TRIP-10090,1FM5K8GC7HZA00090,DRV-993,2026-06-12T14:28:00,46533.1,0.2,ACTIVE,RT-CDMX-QRO
TRIP-10091,1FM5K8GC7HZA00091,DRV-639,2026-06-12T14:47:00,29224.4,33.6,ACTIVE,RT-CDMX-QRO
TRIP-10092,1FM5K8GC7HZA00092,DRV-304,2026-06-12T14:17:00,1244.7,42.7,INACTIVE,RT-MTY-LDO
TRIP-10093,1FM5K8GC7HZA00093,DRV-409,2026-06-12T14:23:00,45470.1,43.5,INACTIVE,RT-MTY-LDO
TRIP-10094,1FM5K8GC7HZA00094,DRV-515,2026-06-12T14:59:00,15462.0,29.2,IN_REPAIR,RT-CDMX-QRO
TRIP-10095,1FM5K8GC7HZA00095,DRV-333,2026-06-12T14:57:00,27812.8,47.8,ACTIVE,RT-PUE-VER
TRIP-10096,1FM5K8GC7HZA00096,DRV-422,2026-06-12T14:25:00,81136.6,45.4,ACTIVE,RT-GDL-MAN
TRIP-10097,1FM5K8GC7HZA00097,DRV-849,2026-06-12T14:50:00,63513.7,26.3,INACTIVE,RT-PUE-VER
TRIP-10098,1FM5K8GC7HZA00098,DRV-892,2026-06-12T14:04:00,24629.2,2.9,ACTIVE,RT-PUE-VER
TRIP-10099,1FM5K8GC7HZA00099,DRV-168,2026-06-12T14:23:00,64114.8,47.6,INACTIVE,RT-PUE-VER
TRIP-10100,1FM5K8GC7HZA00100,DRV-726,2026-06-12T14:25:00,62847.6,22.6,IN_REPAIR,RT-CDMX-QRO
TRIP-10101,1FM5K8GC7HZA00101,DRV-690,2026-06-12T14:28:00,76083.1,29.0,IN_REPAIR,RT-PUE-VER
TRIP-10102,1FM5K8GC7HZA00102,DRV-904,2026-06-12T14:33:00,36395.6,27.4,INACTIVE,RT-MTY-LDO
TRIP-10103,1FM5K8GC7HZA00103,DRV-439,2026-06-12T14:16:00,46351.1,47.4,ACTIVE,RT-GDL-MAN
TRIP-10104,1FM5K8GC7HZA00104,DRV-682,2026-06-12T14:45:00,71252.9,6.4,INACTIVE,RT-MTY-LDO
TRIP-10105,1FM5K8GC7HZA00105,DRV-563,2026-06-12T14:41:00,31689.7,17.8,ACTIVE,RT-MTY-LDO
TRIP-10106,1FM5K8GC7HZA00106,DRV-422,2026-06-12T14:23:00,76549.2,47.3,IN_REPAIR,RT-CDMX-QRO
TRIP-10107,1FM5K8GC7HZA00107,DRV-696,2026-06-12T14:57:00,39682.2,43.5,IN_REPAIR,RT-PUE-VER
TRIP-10108,1FM5K8GC7HZA00108,DRV-628,2026-06-12T14:58:00,23539.9,30.0,ACTIVE,RT-CDMX-QRO
TRIP-10109,1FM5K8GC7HZA00109,DRV-235,2026-06-12T14:03:00,15965.8,25.2,INACTIVE,RT-GDL-MAN
TRIP-10110,1FM5K8GC7HZA00110,DRV-999,2026-06-12T14:27:00,25520.6,20.7,ACTIVE,RT-PUE-VER
TRIP-10111,1FM5K8GC7HZA00111,DRV-704,2026-06-12T14:08:00,60055.0,48.1,INACTIVE,RT-PUE-VER
TRIP-10112,1FM5K8GC7HZA00112,DRV-916,2026-06-12T14:43:00,11760.9,22.5,IN_REPAIR,RT-PUE-VER
TRIP-10113,1FM5K8GC7HZA00113,DRV-840,2026-06-12T14:02:00,67025.2,43.5,INACTIVE,RT-CDMX-QRO
TRIP-10114,1FM5K8GC7HZA00114,DRV-810,2026-06-12T14:51:00,38210.9,32.4,INACTIVE,RT-GDL-MAN
TRIP-10115,1FM5K8GC7HZA00115,DRV-784,2026-06-12T14:24:00,73050.5,45.2,ACTIVE,RT-PUE-VER
TRIP-10116,1FM5K8GC7HZA00116,DRV-500,2026-06-12T14:10:00,47488.8,30.9,INACTIVE,RT-MTY-LDO
TRIP-10117,1FM5K8GC7HZA00117,DRV-386,2026-06-12T14:26:00,75446.8,9.2,INACTIVE,RT-MTY-LDO
TRIP-10118,1FM5K8GC7HZA00118,DRV-129,2026-06-12T14:41:00,16381.9,19.0,IN_REPAIR,RT-MTY-LDO
TRIP-10119,1FM5K8GC7HZA00119,DRV-756,2026-06-12T14:11:00,36759.9,0.0,IN_REPAIR,RT-GDL-MAN
TRIP-10120,1FM5K8GC7HZA00120,DRV-974,2026-06-12T14:00:00,98631.9,35.0,INACTIVE,RT-CDMX-QRO
TRIP-10121,1FM5K8GC7HZA00121,DRV-121,2026-06-12T14:37:00,64631.2,2.7,INACTIVE,RT-CDMX-QRO
TRIP-10122,1FM5K8GC7HZA00122,DRV-736,2026-06-12T14:36:00,62595.3,35.4,IN_REPAIR,RT-CDMX-QRO
TRIP-10123,1FM5K8GC7HZA00123,DRV-443,2026-06-12T14:17:00,85011.4,31.6,INACTIVE,RT-GDL-MAN
TRIP-10124,1FM5K8GC7HZA00124,DRV-394,2026-06-12T14:15:00,54159.9,34.8,ACTIVE,RT-PUE-VER
TRIP-10125,1FM5K8GC7HZA00125,DRV-549,2026-06-12T14:02:00,60022.9,41.9,IN_REPAIR,RT-CDMX-QRO
TRIP-10126,1FM5K8GC7HZA00126,DRV-890,2026-06-12T14:58:00,12405.4,33.7,INACTIVE,RT-CDMX-QRO
TRIP-10127,1FM5K8GC7HZA00127,DRV-477,2026-06-12T14:07:00,8302.0,49.1,ACTIVE,RT-GDL-MAN
TRIP-10128,1FM5K8GC7HZA00128,DRV-116,2026-06-12T14:58:00,46633.9,33.1,IN_REPAIR,RT-PUE-VER
TRIP-10129,1FM5K8GC7HZA00129,DRV-443,2026-06-12T14:37:00,31453.6,29.6,INACTIVE,RT-MTY-LDO
TRIP-10130,1FM5K8GC7HZA00130,DRV-951,2026-06-12T14:27:00,29865.9,26.4,ACTIVE,RT-PUE-VER
TRIP-10131,1FM5K8GC7HZA00131,DRV-364,2026-06-12T14:08:00,7207.2,8.9,INACTIVE,RT-PUE-VER
TRIP-10132,1FM5K8GC7HZA00132,DRV-243,2026-06-12T14:48:00,60298.5,30.3,INACTIVE,RT-CDMX-QRO
TRIP-10133,1FM5K8GC7HZA00133,DRV-417,2026-06-12T14:30:00,18735.6,2.5,INACTIVE,RT-CDMX-QRO
TRIP-10134,1FM5K8GC7HZA00134,DRV-926,2026-06-12T14:21:00,72495.3,2.2,INACTIVE,RT-PUE-VER
TRIP-10135,1FM5K8GC7HZA00135,DRV-569,2026-06-12T14:12:00,38321.1,18.0,ACTIVE,RT-GDL-MAN
TRIP-10136,1FM5K8GC7HZA00136,DRV-878,2026-06-12T14:51:00,51859.6,43.2,ACTIVE,RT-CDMX-QRO
TRIP-10137,1FM5K8GC7HZA00137,DRV-124,2026-06-12T14:46:00,90389.7,48.7,INACTIVE,RT-GDL-MAN
TRIP-10138,1FM5K8GC7HZA00138,DRV-177,2026-06-12T14:18:00,29658.2,36.6,IN_REPAIR,RT-GDL-MAN
TRIP-10139,1FM5K8GC7HZA00139,DRV-257,2026-06-12T14:05:00,32880.0,6.2,IN_REPAIR,RT-GDL-MAN
TRIP-10140,1FM5K8GC7HZA00140,DRV-289,2026-06-12T14:12:00,29817.1,16.9,IN_REPAIR,RT-PUE-VER
TRIP-10141,1FM5K8GC7HZA00141,DRV-616,2026-06-12T14:06:00,70313.9,28.8,INACTIVE,RT-GDL-MAN
TRIP-10142,1FM5K8GC7HZA00142,DRV-108,2026-06-12T14:20:00,78928.6,9.5,INACTIVE,RT-MTY-LDO
TRIP-10143,1FM5K8GC7HZA00143,DRV-928,2026-06-12T14:19:00,75559.7,0.8,ACTIVE,RT-MTY-LDO
TRIP-10144,1FM5K8GC7HZA00144,DRV-551,2026-06-12T14:49:00,50438.0,47.9,IN_REPAIR,RT-GDL-MAN
TRIP-10145,1FM5K8GC7HZA00145,DRV-514,2026-06-12T14:34:00,95266.7,37.1,IN_REPAIR,RT-PUE-VER
TRIP-10146,1FM5K8GC7HZA00146,DRV-822,2026-06-12T14:37:00,60292.9,24.4,IN_REPAIR,RT-CDMX-QRO
TRIP-10147,1FM5K8GC7HZA00147,DRV-218,2026-06-12T14:08:00,34153.6,7.5,IN_REPAIR,RT-PUE-VER
TRIP-10148,1FM5K8GC7HZA00148,DRV-805,2026-06-12T14:50:00,14006.6,41.8,ACTIVE,RT-CDMX-QRO
TRIP-10149,1FM5K8GC7HZA00149,DRV-512,2026-06-12T14:52:00,42497.2,44.8,INACTIVE,RT-GDL-MAN
TRIP-10150,1FM5K8GC7HZA00150,DRV-768,2026-06-12T14:10:00,83390.3,8.2,IN_REPAIR,RT-MTY-LDO
TRIP-10151,1FM5K8GC7HZA00151,DRV-494,2026-06-12T14:22:00,4018.5,35.3,IN_REPAIR,RT-GDL-MAN
TRIP-10152,1FM5K8GC7HZA00152,DRV-467,2026-06-12T14:24:00,92818.7,48.7,ACTIVE,RT-MTY-LDO
TRIP-10153,1FM5K8GC7HZA00153,DRV-409,2026-06-12T14:36:00,90518.2,25.7,INACTIVE,RT-GDL-MAN
TRIP-10154,1FM5K8GC7HZA00154,DRV-674,2026-06-12T14:07:00,27137.3,22.8,IN_REPAIR,RT-GDL-MAN
TRIP-10155,1FM5K8GC7HZA00155,DRV-444,2026-06-12T14:56:00,47296.9,4.8,IN_REPAIR,RT-GDL-MAN
TRIP-10156,1FM5K8GC7HZA00156,DRV-968,2026-06-12T14:32:00,16298.9,47.9,ACTIVE,RT-GDL-MAN
TRIP-10157,1FM5K8GC7HZA00157,DRV-148,2026-06-12T14:39:00,16866.7,4.6,IN_REPAIR,RT-GDL-MAN
TRIP-10158,1FM5K8GC7HZA00158,DRV-306,2026-06-12T14:37:00,35152.2,27.1,IN_REPAIR,RT-GDL-MAN
TRIP-10159,1FM5K8GC7HZA00159,DRV-361,2026-06-12T14:10:00,26620.4,3.7,IN_REPAIR,RT-CDMX-QRO
TRIP-10160,1FM5K8GC7HZA00160,DRV-418,2026-06-12T14:56:00,17491.2,35.8,ACTIVE,RT-MTY-LDO
TRIP-10161,1FM5K8GC7HZA00161,DRV-412,2026-06-12T14:22:00,88423.4,15.6,IN_REPAIR,RT-GDL-MAN
TRIP-10162,1FM5K8GC7HZA00162,DRV-595,2026-06-12T14:25:00,34247.2,34.8,INACTIVE,RT-GDL-MAN
TRIP-10163,1FM5K8GC7HZA00163,DRV-465,2026-06-12T14:20:00,95963.4,45.7,IN_REPAIR,RT-CDMX-QRO
TRIP-10164,1FM5K8GC7HZA00164,DRV-847,2026-06-12T14:06:00,62258.1,32.7,IN_REPAIR,RT-MTY-LDO
TRIP-10165,1FM5K8GC7HZA00165,DRV-142,2026-06-12T14:17:00,89522.3,4.4,ACTIVE,RT-MTY-LDO
TRIP-10166,1FM5K8GC7HZA00166,DRV-495,2026-06-12T14:22:00,37057.3,30.9,ACTIVE,RT-MTY-LDO
TRIP-10167,1FM5K8GC7HZA00167,DRV-417,2026-06-12T14:55:00,90695.3,28.9,ACTIVE,RT-MTY-LDO
TRIP-10168,1FM5K8GC7HZA00168,DRV-732,2026-06-12T14:06:00,36072.3,9.7,IN_REPAIR,RT-CDMX-QRO
TRIP-10169,1FM5K8GC7HZA00169,DRV-718,2026-06-12T14:12:00,81562.3,16.5,ACTIVE,RT-GDL-MAN
TRIP-10170,1FM5K8GC7HZA00170,DRV-412,2026-06-12T14:15:00,39838.6,47.3,INACTIVE,RT-MTY-LDO
TRIP-10171,1FM5K8GC7HZA00171,DRV-711,2026-06-12T14:50:00,95405.9,41.7,ACTIVE,RT-CDMX-QRO
TRIP-10172,1FM5K8GC7HZA00172,DRV-392,2026-06-12T14:06:00,40883.8,13.7,ACTIVE,RT-MTY-LDO
TRIP-10173,1FM5K8GC7HZA00173,DRV-248,2026-06-12T14:37:00,83246.5,1.9,INACTIVE,RT-MTY-LDO
TRIP-10174,1FM5K8GC7HZA00174,DRV-162,2026-06-12T14:54:00,84449.9,12.4,INACTIVE,RT-MTY-LDO
TRIP-10175,1FM5K8GC7HZA00175,DRV-288,2026-06-12T14:03:00,82494.0,2.5,IN_REPAIR,RT-GDL-MAN
TRIP-10176,1FM5K8GC7HZA00176,DRV-784,2026-06-12T14:44:00,33274.3,18.5,IN_REPAIR,RT-CDMX-QRO
TRIP-10177,1FM5K8GC7HZA00177,DRV-606,2026-06-12T14:17:00,22533.6,28.7,INACTIVE,RT-GDL-MAN
TRIP-10178,1FM5K8GC7HZA00178,DRV-159,2026-06-12T14:20:00,55668.7,31.8,IN_REPAIR,RT-MTY-LDO
TRIP-10179,1FM5K8GC7HZA00179,DRV-587,2026-06-12T14:11:00,80771.1,7.3,ACTIVE,RT-GDL-MAN
TRIP-10180,1FM5K8GC7HZA00180,DRV-743,2026-06-12T14:03:00,56806.1,30.1,ACTIVE,RT-CDMX-QRO
TRIP-10181,1FM5K8GC7HZA00181,DRV-673,2026-06-12T14:51:00,1815.1,7.4,IN_REPAIR,RT-PUE-VER
TRIP-10182,1FM5K8GC7HZA00182,DRV-579,2026-06-12T14:23:00,35385.5,12.7,ACTIVE,RT-GDL-MAN
TRIP-10183,1FM5K8GC7HZA00183,DRV-474,2026-06-12T14:17:00,39990.2,26.9,ACTIVE,RT-MTY-LDO
TRIP-10184,1FM5K8GC7HZA00184,DRV-392,2026-06-12T14:44:00,83729.9,31.2,INACTIVE,RT-GDL-MAN
TRIP-10185,1FM5K8GC7HZA00185,DRV-537,2026-06-12T14:21:00,95247.1,0.6,INACTIVE,RT-GDL-MAN
TRIP-10186,1FM5K8GC7HZA00186,DRV-108,2026-06-12T14:34:00,16868.4,46.2,INACTIVE,RT-CDMX-QRO
TRIP-10187,1FM5K8GC7HZA00187,DRV-465,2026-06-12T14:55:00,8720.1,42.0,IN_REPAIR,RT-MTY-LDO
TRIP-10188,1FM5K8GC7HZA00188,DRV-113,2026-06-12T14:28:00,72864.0,28.1,ACTIVE,RT-PUE-VER
TRIP-10189,1FM5K8GC7HZA00189,DRV-131,2026-06-12T14:58:00,48527.3,15.4,INACTIVE,RT-PUE-VER
TRIP-10190,1FM5K8GC7HZA00190,DRV-789,2026-06-12T14:43:00,63139.8,5.6,IN_REPAIR,RT-GDL-MAN
TRIP-10191,1FM5K8GC7HZA00191,DRV-650,2026-06-12T14:28:00,50673.1,29.1,ACTIVE,RT-PUE-VER
TRIP-10192,1FM5K8GC7HZA00192,DRV-271,2026-06-12T14:04:00,48128.8,9.7,ACTIVE,RT-PUE-VER
TRIP-10193,1FM5K8GC7HZA00193,DRV-417,2026-06-12T14:42:00,97718.2,24.7,INACTIVE,RT-CDMX-QRO
TRIP-10194,1FM5K8GC7HZA00194,DRV-208,2026-06-12T14:10:00,82350.9,40.0,IN_REPAIR,RT-MTY-LDO
TRIP-10195,1FM5K8GC7HZA00195,DRV-325,2026-06-12T14:50:00,79222.5,12.7,INACTIVE,RT-PUE-VER
TRIP-10196,1FM5K8GC7HZA00196,DRV-934,2026-06-12T14:39:00,7766.2,20.0,INACTIVE,RT-CDMX-QRO
TRIP-10197,1FM5K8GC7HZA00197,DRV-239,2026-06-12T14:43:00,31301.8,28.7,IN_REPAIR,RT-PUE-VER
TRIP-10198,1FM5K8GC7HZA00198,DRV-641,2026-06-12T14:13:00,67256.2,33.8,IN_REPAIR,RT-MTY-LDO
TRIP-10199,1FM5K8GC7HZA00199,DRV-186,2026-06-12T14:38:00,76372.7,22.7,ACTIVE,RT-GDL-MAN
